Source;Month of Year;Device Category;Ad Content;Sessions;Users;New Users;Pageviews;Session Duration;Calculated AToS
Aptus;202106;tablet;DistributionDTC.NU1624UnbrandedSymp.320;20;20;20;25;64;0:01:04
Aptus;202106;tablet;DistributionDTC.NU1715.1;8;5;5;10;78;0:01:18
Facebook;202106;cross device;FBNU1770.FBNU1770.1;836;587;568;670;21037;5:50:37
Facebook;202106;cross device;FBNU1795.FBNU1795.1;650;631;607;713;8303;2:18:23
Facebook;202106;cross device;FBNU1796.FBNU1796.1;58;56;52;60;460;0:07:40
GoodRx;202106;desktop;BSDermicool.NU1559Branded.728;1;1;1;1;0;0:00:00
GoodRx;202106;desktop;BSDermicoolQuetiapine.NU1559Branded.160;2;1;1;2;0;0:00:00
GoodRx;202106;desktop;BSDermicoolQuetiapine.NU1559Branded.728;5;5;5;8;1;0:00:01
GoodRx;202106;mobile;BSDermicoolParkinsonDisease.NU1559Branded.728;1;1;1;1;0;0:00:00
GoodRx;202106;tablet;BSDermicool.NU1559Branded.728;1;1;1;5;140;0:02:20
GoodRx;202106;tablet;BSDermicoolQuetiapine.NU1559Branded.728;1;1;1;1;0;0:00:00
HealthUnion;202106;desktop;ConditionCenter.NU1559Branded.160;2;2;2;2;0;0:00:00
HealthUnion;202106;desktop;ConditionCenter.NU1559Branded.300;5;5;4;5;747;0:12:27
HealthUnion;202106;desktop;ConditionCenter.NU1559Branded.728;4;4;3;7;987;0:16:27
HealthUnion;202106;desktop;ConditionCenter.NU1623Unbranded50.300;2;2;2;2;0;0:00:00
HealthUnion;202106;desktop;SDDisplay.NU1559Branded.160;2;2;2;2;0;0:00:00
HealthUnion;202106;desktop;SDDisplay.NU1559Branded.300;6;6;5;7;87;0:01:27
HealthUnion;202106;desktop;SDDisplay.NU1623Unbranded50.300;1;1;1;1;0;0:00:00
HealthUnion;202106;desktop;SDDisplay.NU1623Unbranded50.728;1;1;1;1;0;0:00:00
HealthUnion;202106;desktop;SDDisplay.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
HealthUnion;202106;desktop;SDDisplay.NU1624UnbrandedSymp.300;3;3;3;4;65;0:01:05
HealthUnion;202106;desktop;SDDisplay.NU1624UnbrandedSymp.728;1;1;1;1;0;0:00:00
HealthUnion;202106;desktop;SDDisplayAV.NU1559Branded.300;3;3;3;4;11;0:00:11
HealthUnion;202106;mobile;ConditionCenter.NU1559Branded.300;22;21;19;29;1232;0:20:32
HealthUnion;202106;mobile;ConditionCenter.NU1623Unbranded50.300;27;23;20;29;3449;0:57:29
HealthUnion;202106;mobile;ConditionCenter.NU1624UnbrandedSymp.300;15;15;13;16;985;0:16:25
HealthUnion;202106;mobile;SDDisplay.NU1559Branded.300;27;27;25;31;390;0:06:30
HealthUnion;202106;mobile;SDDisplay.NU1623Unbranded50.300;7;7;6;12;747;0:12:27
HealthUnion;202106;mobile;SDDisplay.NU1624UnbrandedSymp.300;8;8;6;9;2;0:00:02
HealthUnion;202106;mobile;SDDisplay.NU1624UnbrandedSymp.320;1;1;1;1;0;0:00:00
HealthUnion;202106;mobile;SDDisplayAV.NU1559Branded.300;1;1;1;1;0;0:00:00
HealthUnion;202106;mobile;SDDisplayAV.NU1623Unbranded50.300;2;1;1;2;0;0:00:00
HealthUnion;202106;mobile;SDDisplayAV.NU1624UnbrandedSymp.300;5;5;5;5;0;0:00:00
HealthUnion;202106;mobile;SDDisplayAV.NU1624UnbrandedSymp.320;1;1;1;2;339;0:05:39
HealthUnion;202106;tablet;ConditionCenter.NU1559Branded.160;1;1;1;1;0;0:00:00
HealthUnion;202106;tablet;ConditionCenter.NU1559Branded.300;3;3;3;3;0;0:00:00
HealthUnion;202106;tablet;ConditionCenter.NU1623Unbranded50.728;2;2;2;2;371;0:06:11
HealthUnion;202106;tablet;ConditionCenter.NU1624UnbrandedSymp.300;1;1;1;1;0;0:00:00
HealthUnion;202106;tablet;ConditionCenter.NU1624UnbrandedSymp.728;1;1;1;1;280;0:04:40
HealthUnion;202106;tablet;SDDisplay.NU1623Unbranded50.300;1;1;1;1;0;0:00:00
HealthUnion;202106;tablet;SDDisplay.NU1623Unbranded50.728;1;1;1;1;0;0:00:00
HealthUnion;202106;tablet;SDDisplay.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
HealthUnion;202106;tablet;SDDisplay.NU1624UnbrandedSymp.300;2;2;2;2;59;0:00:59
MediaIQ;202106;desktop;SDPCrossixSegment.NU1559Branded.160;3;3;3;36;311;0:05:11
MediaIQ;202106;desktop;SDPCrossixSegment.NU1559Branded.300;10;10;10;90;787;0:13:07
MediaIQ;202106;desktop;SDPCrossixSegment.NU1559Branded.728;3;3;3;45;269;0:04:29
MediaIQ;202106;desktop;SDPCrossixSegment.NU1623Unbranded50.160;2;2;2;2;0;0:00:00
MediaIQ;202106;desktop;SDPCrossixSegment.NU1623Unbranded50.300;5;5;5;5;0;0:00:00
MediaIQ;202106;desktop;SDPCrossixSegment.NU1623Unbranded50.728;3;3;3;3;0;0:00:00
MediaIQ;202106;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.160;4;4;4;4;0;0:00:00
MediaIQ;202106;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.300;5;5;5;5;0;0:00:00
MediaIQ;202106;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.320;10;10;10;10;0;0:00:00
MediaIQ;202106;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.728;6;6;6;6;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1559Branded.160;9;9;9;92;694;0:11:34
MediaIQ;202106;desktop;SDPSwoopSegment.NU1559Branded.300;19;19;19;170;1567;0:26:07
MediaIQ;202106;desktop;SDPSwoopSegment.NU1559Branded.728;20;17;17;76;367;0:06:07
MediaIQ;202106;desktop;SDPSwoopSegment.NU1623Unbranded50.160;2;2;2;2;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1623Unbranded50.300;5;5;5;5;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1623Unbranded50.728;9;9;9;9;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.300;7;7;7;7;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.320;17;17;17;17;0;0:00:00
MediaIQ;202106;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.728;13;11;11;13;0;0:00:00
MediaIQ;202106;mobile;SDPCrossixSegment.NU1559Branded.300;17;15;15;18;0;0:00:00
MediaIQ;202106;mobile;SDPCrossixSegment.NU1623Unbranded50.300;9;9;9;10;14;0:00:14
MediaIQ;202106;mobile;SDPCrossixSegment.NU1624UnbrandedSymp.300;14;10;10;15;53;0:00:53
MediaIQ;202106;mobile;SDPCrossixSegment.NU1624UnbrandedSymp.320;360;305;303;399;10041;2:47:21
MediaIQ;202106;mobile;SDPSwoopSegment.NU1559Branded.300;17;17;17;18;0;0:00:00
MediaIQ;202106;mobile;SDPSwoopSegment.NU1559Branded.728;5;4;4;5;0;0:00:00
MediaIQ;202106;mobile;SDPSwoopSegment.NU1623Unbranded50.300;18;18;18;18;0;0:00:00
MediaIQ;202106;mobile;SDPSwoopSegment.NU1623Unbranded50.728;3;2;2;4;1;0:00:01
MediaIQ;202106;mobile;SDPSwoopSegment.NU1624UnbrandedSymp.300;9;9;9;9;0;0:00:00
MediaIQ;202106;mobile;SDPSwoopSegment.NU1624UnbrandedSymp.320;200;184;178;219;3501;0:58:21
MediaIQ;202106;mobile;SDPSwoopSegment.NU1624UnbrandedSymp.728;3;3;3;3;0;0:00:00
MediaIQ;202106;tablet;SDPCrossixSegment.NU1559Branded.300;2;2;2;2;0;0:00:00
MediaIQ;202106;tablet;SDPCrossixSegment.NU1623Unbranded50.300;1;1;1;1;0;0:00:00
MediaIQ;202106;tablet;SDPCrossixSegment.NU1624UnbrandedSymp.300;1;1;1;1;0;0:00:00
MediaIQ;202106;tablet;SDPCrossixSegment.NU1624UnbrandedSymp.320;15;14;14;20;84;0:01:24
MediaIQ;202106;tablet;SDPSwoopSegment.NU1559Branded.160;1;1;1;1;0;0:00:00
MediaIQ;202106;tablet;SDPSwoopSegment.NU1559Branded.300;3;3;3;3;0;0:00:00
MediaIQ;202106;tablet;SDPSwoopSegment.NU1559Branded.728;16;13;13;17;5;0:00:05
MediaIQ;202106;tablet;SDPSwoopSegment.NU1623Unbranded50.728;6;5;5;6;0;0:00:00
MediaIQ;202106;tablet;SDPSwoopSegment.NU1624UnbrandedSymp.320;3;3;3;4;12;0:00:12
MediaIQ;202106;tablet;SDPSwoopSegment.NU1624UnbrandedSymp.728;11;9;9;16;113;0:01:53
Medicx;202106;desktop;SDPCustomCaregiver.NU1559Branded.160;30;29;29;206;1535;0:25:35
Medicx;202106;desktop;SDPCustomCaregiver.NU1559Branded.300;38;38;38;312;2306;0:38:26
Medicx;202106;desktop;SDPCustomCaregiver.NU1559Branded.728;40;40;40;387;2102;0:35:02
Medicx;202106;desktop;SDPCustomCaregiver.NU1623Unbranded50.160;5;5;5;6;27;0:00:27
Medicx;202106;desktop;SDPCustomCaregiver.NU1623Unbranded50.300;11;11;11;12;27;0:00:27
Medicx;202106;desktop;SDPCustomCaregiver.NU1623Unbranded50.728;9;9;9;10;38;0:00:38
Medicx;202106;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.160;15;15;15;16;26;0:00:26
Medicx;202106;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.300;12;12;12;12;0;0:00:00
Medicx;202106;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.320;17;17;17;17;0;0:00:00
Medicx;202106;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.728;9;9;9;11;65;0:01:05
Medicx;202106;desktop;SDPCustomPatient.NU1559Branded.160;25;25;25;191;1408;0:23:28
Medicx;202106;desktop;SDPCustomPatient.NU1559Branded.300;32;32;32;331;2591;0:43:11
Medicx;202106;desktop;SDPCustomPatient.NU1559Branded.728;23;23;23;293;1522;0:25:22
Medicx;202106;desktop;SDPCustomPatient.NU1623Unbranded50.160;8;8;8;10;76;0:01:16
Medicx;202106;desktop;SDPCustomPatient.NU1623Unbranded50.300;5;5;5;5;0;0:00:00
Medicx;202106;desktop;SDPCustomPatient.NU1623Unbranded50.728;6;6;6;7;27;0:00:27
Medicx;202106;desktop;SDPCustomPatient.NU1624UnbrandedSymp.160;7;7;6;9;31;0:00:31
Medicx;202106;desktop;SDPCustomPatient.NU1624UnbrandedSymp.300;9;9;9;11;65;0:01:05
Medicx;202106;desktop;SDPCustomPatient.NU1624UnbrandedSymp.320;2;2;2;2;0;0:00:00
Medicx;202106;desktop;SDPCustomPatient.NU1624UnbrandedSymp.728;7;7;7;9;42;0:00:42
Medicx;202106;mobile;MedicxSDPCustomCaregiver.NU1559Branded.728;1;1;1;1;0;0:00:00
Medicx;202106;mobile;SDPCustomCaregiver.NU1559Branded.300;52;49;49;57;2171;0:36:11
Medicx;202106;mobile;SDPCustomCaregiver.NU1559Branded.728;17;17;17;17;0;0:00:00
Medicx;202106;mobile;SDPCustomCaregiver.NU1623Unbranded50.300;12;11;11;14;97;0:01:37
Medicx;202106;mobile;SDPCustomCaregiver.NU1623Unbranded50.728;15;11;10;17;27;0:00:27
Medicx;202106;mobile;SDPCustomCaregiver.NU1624UnbrandedSymp.300;11;11;11;12;171;0:02:51
Medicx;202106;mobile;SDPCustomCaregiver.NU1624UnbrandedSymp.320;130;126;125;134;129;0:02:09
Medicx;202106;mobile;SDPCustomCaregiver.NU1624UnbrandedSymp.728;8;8;8;9;1;0:00:01
Medicx;202106;mobile;SDPCustomPatient.NU1559Branded.160;4;4;4;4;0;0:00:00
Medicx;202106;mobile;SDPCustomPatient.NU1559Branded.300;19;19;19;24;25;0:00:25
Medicx;202106;mobile;SDPCustomPatient.NU1559Branded.728;2;2;2;2;0;0:00:00
Medicx;202106;mobile;SDPCustomPatient.NU1623Unbranded50.300;5;5;5;5;0;0:00:00
Medicx;202106;mobile;SDPCustomPatient.NU1623Unbranded50.728;4;4;4;4;0;0:00:00
Medicx;202106;mobile;SDPCustomPatient.NU1624UnbrandedSymp.300;8;8;8;8;25;0:00:25
Medicx;202106;mobile;SDPCustomPatient.NU1624UnbrandedSymp.320;55;52;52;58;10;0:00:10
Medicx;202106;mobile;SDPCustomPatient.NU1624UnbrandedSymp.728;2;2;2;3;381;0:06:21
Medicx;202106;tablet;SDPCustomCaregiver.NU1559Branded.300;3;3;3;3;0;0:00:00
Medicx;202106;tablet;SDPCustomCaregiver.NU1559Branded.728;3;3;3;5;23;0:00:23
Medicx;202106;tablet;SDPCustomCaregiver.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
Medicx;202106;tablet;SDPCustomCaregiver.NU1624UnbrandedSymp.320;2;2;2;2;0;0:00:00
Medicx;202106;tablet;SDPCustomCaregiver.NU1624UnbrandedSymp.728;2;2;2;3;0;0:00:00
Medicx;202106;tablet;SDPCustomPatient.NU1559Branded.728;1;1;1;2;0;0:00:00
Medicx;202106;tablet;SDPCustomPatient.NU1624UnbrandedSymp.160;2;2;2;2;0;0:00:00
Medicx;202106;tablet;SDPCustomPatient.NU1624UnbrandedSymp.300;1;1;1;1;0;0:00:00
MiQ;202106;mobile;MiQCrossixTargeting.SD_1623_v3_50.728;3;2;0;3;0;0:00:00
MiQ;202106;mobile;MiQCrossixTargeting.SD_1624_v3_Symptom.728;1;1;0;1;0;0:00:00
MiQ;202106;mobile;MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728;2;2;2;2;0;0:00:00
MiQ;202106;mobile;MiQCrossixTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728;3;3;3;3;0;0:00:00
ParkinsonsNewsToday;202106;desktop;PNT_ROS_Display.SD_1624_v3_Symptom.300;2;1;1;4;434;0:07:14
ParkinsonsNewsToday;202106;desktop;ROS.NU1559Branded.300;9;8;8;11;154;0:02:34
ParkinsonsNewsToday;202106;desktop;ROS.NU1559Branded.728;12;12;12;12;26;0:00:26
ParkinsonsNewsToday;202106;desktop;ROS.NU1623Unbranded50.300;5;5;5;8;348;0:05:48
ParkinsonsNewsToday;202106;desktop;ROS.NU1623Unbranded50.728;10;10;9;13;799;0:13:19
ParkinsonsNewsToday;202106;desktop;ROS.NU1624UnbrandedSymp.300;4;4;3;4;0;0:00:00
ParkinsonsNewsToday;202106;desktop;ROS.NU1624UnbrandedSymp.728;6;6;6;6;50;0:00:50
ParkinsonsNewsToday;202106;mobile;ROS.N;1;1;1;2;35;0:00:35
ParkinsonsNewsToday;202106;mobile;ROS.NU1559Branded.300;33;33;32;38;1654;0:27:34
ParkinsonsNewsToday;202106;mobile;ROS.NU1623Unbranded50.300;28;22;21;44;1416;0:23:36
ParkinsonsNewsToday;202106;mobile;ROS.NU1624UnbrandedSymp.300;15;14;13;18;1209;0:20:09
ParkinsonsNewsToday;202106;tablet;ROS.NU1559Branded.300;4;4;4;4;0;0:00:00
ParkinsonsNewsToday;202106;tablet;ROS.NU1623Unbranded50.300;1;1;1;3;6;0:00:06
ParkinsonsNewsToday;202106;tablet;ROS.NU1624UnbrandedSymp.300;6;6;5;8;453;0:07:33
PulsePoint;202106;mobile;PulsePointConditionPopulation.SD_1624_v3_Symptom.300;1;1;1;1;0;0:00:00
PulsePoint;202106;mobile;PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.728;1;1;0;1;0;0:00:00
RemedyHealth;202106;desktop;SDPConditionCenter.NU1559Branded.300;7;7;7;8;415;0:06:55
RemedyHealth;202106;desktop;SDPConditionCenter.NU1559Branded.728;6;6;4;14;2406;0:40:06
RemedyHealth;202106;desktop;SDPConditionCenter.NU1623Unbranded50.300;8;7;6;8;0;0:00:00
RemedyHealth;202106;desktop;SDPConditionCenter.NU1623Unbranded50.728;1;1;1;1;595;0:09:55
RemedyHealth;202106;desktop;SDPConditionCenter.NU1624UnbrandedSymp.300;6;6;6;7;280;0:04:40
RemedyHealth;202106;desktop;SDPConditionCenter.NU1624UnbrandedSymp.320;1;1;1;1;0;0:00:00
RemedyHealth;202106;desktop;SDPConditionCenter.NU1624UnbrandedSymp.728;5;4;3;6;1014;0:16:54
RemedyHealth;202106;desktop;SDSDisplayMedia.NU1559Branded.300;7;7;7;55;1816;0:30:16
RemedyHealth;202106;desktop;SDSDisplayMedia.NU1559Branded.728;1;1;1;1;0;0:00:00
RemedyHealth;202106;desktop;SDSDisplayMedia.NU1623Unbranded50.300;5;5;5;5;0;0:00:00
RemedyHealth;202106;desktop;SDSDisplayMedia.NU1623Unbranded50.728;1;1;1;1;0;0:00:00
RemedyHealth;202106;desktop;SDSDisplayMedia.NU1624UnbrandedSymp.300;4;2;1;4;0;0:00:00
RemedyHealth;202106;mobile;SDPConditionCenter.NU1559Branded.300;20;20;18;23;1528;0:25:28
RemedyHealth;202106;mobile;SDPConditionCenter.NU1623Unbranded50.300;4;4;4;5;61;0:01:01
RemedyHealth;202106;mobile;SDPConditionCenter.NU1624UnbrandedSymp.300;9;9;9;9;0;0:00:00
RemedyHealth;202106;mobile;SDSDisplayMedia.NU1559Branded.300;13;12;12;14;406;0:06:46
RemedyHealth;202106;mobile;SDSDisplayMedia.NU1559Branded.728;3;3;3;3;0;0:00:00
RemedyHealth;202106;mobile;SDSDisplayMedia.NU1623Unbranded50.300;5;5;5;12;1173;0:19:33
RemedyHealth;202106;mobile;SDSDisplayMedia.NU1624UnbrandedSymp.300;11;11;11;14;284;0:04:44
RemedyHealth;202106;mobile;SDSDisplayMedia.NU1624UnbrandedSymp.320;26;25;25;27;191;0:03:11
RemedyHealth;202106;tablet;SDPConditionCenter.NU1559Branded.300;10;8;6;12;253;0:04:13
RemedyHealth;202106;tablet;SDPConditionCenter.NU1559Branded.728;1;1;1;1;0;0:00:00
RemedyHealth;202106;tablet;SDPConditionCenter.NU1623Unbranded50.300;1;1;1;1;0;0:00:00
RemedyHealth;202106;tablet;SDPConditionCenter.NU1623Unbranded50.728;2;2;2;2;0;0:00:00
RemedyHealth;202106;tablet;SDPConditionCenter.NU1624UnbrandedSymp.300;4;4;3;4;0;0:00:00
RemedyHealth;202106;tablet;SDSDisplayMedia.NU1559Branded.300;4;4;4;4;0;0:00:00
RemedyHealth;202106;tablet;SDSDisplayMedia.NU1623Unbranded50.300;1;1;1;1;0;0:00:00
RemedyHealth;202106;tablet;SDSDisplayMedia.NU1624UnbrandedSymp.728;1;1;1;1;0;0:00:00
Sharecare;202106;desktop;SDPMR.NU1559Branded.160;4;4;4;15;96;0:01:36
Sharecare;202106;desktop;SDPMR.NU1559Branded.300;9;9;9;79;597;0:09:57
Sharecare;202106;desktop;SDPMR.NU1559Branded.728;38;36;35;81;352;0:05:52
Sharecare;202106;desktop;SDPMR.NU1623Unbranded50.160;2;2;2;2;0;0:00:00
Sharecare;202106;desktop;SDPMR.NU1623Unbranded50.728;26;25;25;26;4;0:00:04
Sharecare;202106;desktop;SDPMR.NU1624UnbrandedSymp.160;3;3;3;4;252;0:04:12
Sharecare;202106;desktop;SDPMR.NU1624UnbrandedSymp.300;3;3;3;3;0;0:00:00
Sharecare;202106;desktop;SDPMR.NU1624UnbrandedSymp.728;19;19;19;19;0;0:00:00
Sharecare;202106;desktop;SDPPerformanceDisplay.NU1559Branded.1;41;37;36;51;2590;0:43:10
Sharecare;202106;desktop;SDPPerformanceDisplay.NU1559Branded.300;2;2;2;2;178;0:02:58
Sharecare;202106;mobile;SDPMR.NU1559Branded.160;2;2;2;2;0;0:00:00
Sharecare;202106;mobile;SDPMR.NU1559Branded.300;16;16;16;20;27;0:00:27
Sharecare;202106;mobile;SDPMR.NU1559Branded.728;9;9;9;10;0;0:00:00
Sharecare;202106;mobile;SDPMR.NU1623Unbranded50.160;1;1;1;1;0;0:00:00
Sharecare;202106;mobile;SDPMR.NU1623Unbranded50.300;8;8;8;8;300;0:05:00
Sharecare;202106;mobile;SDPMR.NU1623Unbranded50.728;8;8;8;8;0;0:00:00
Sharecare;202106;mobile;SDPMR.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
Sharecare;202106;mobile;SDPMR.NU1624UnbrandedSymp.300;6;6;6;7;23;0:00:23
Sharecare;202106;mobile;SDPMR.NU1624UnbrandedSymp.728;8;7;7;8;0;0:00:00
Sharecare;202106;mobile;SDPPerformanceDisplay.NU1559Branded.1;355;333;331;476;27835;7:43:55
Sharecare;202106;mobile;SDPPerformanceDisplay.NU1559Branded.300;23;21;20;37;1449;0:24:09
Sharecare;202106;tablet;SDPMR.NU1559Branded.160;3;3;3;4;212;0:03:32
Sharecare;202106;tablet;SDPMR.NU1559Branded.300;1;1;1;1;0;0:00:00
Sharecare;202106;tablet;SDPMR.NU1559Branded.728;54;41;41;55;1;0:00:01
Sharecare;202106;tablet;SDPMR.NU1623Unbranded50.300;4;2;2;5;0;0:00:00
Sharecare;202106;tablet;SDPMR.NU1623Unbranded50.728;14;10;9;20;2116;0:35:16
Sharecare;202106;tablet;SDPMR.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
Sharecare;202106;tablet;SDPMR.NU1624UnbrandedSymp.728;14;11;11;14;0;0:00:00
Sharecare;202106;tablet;SDPPerformanceDisplay.NU1559Branded.1;25;24;24;30;1727;0:28:47
Swoop;202106;desktop;SDPCustom.NU1559Branded.160;15;15;15;168;1366;0:22:46
Swoop;202106;desktop;SDPCustom.NU1559Branded.300;40;40;40;306;2451;0:40:51
Swoop;202106;desktop;SDPCustom.NU1559Branded.728;79;70;70;292;1305;0:21:45
Swoop;202106;desktop;SDPCustom.NU1623Unbranded50.160;2;2;2;4;9;0:00:09
Swoop;202106;desktop;SDPCustom.NU1623Unbranded50.300;13;13;13;16;17;0:00:17
Swoop;202106;desktop;SDPCustom.NU1623Unbranded50.728;62;49;49;69;1999;0:33:19
Swoop;202106;desktop;SDPCustom.NU1624UnbrandedSymp.160;4;4;4;5;4;0:00:04
Swoop;202106;desktop;SDPCustom.NU1624UnbrandedSymp.300;12;12;12;14;8;0:00:08
Swoop;202106;desktop;SDPCustom.NU1624UnbrandedSymp.320;13;13;13;13;0;0:00:00
Swoop;202106;desktop;SDPCustom.NU1624UnbrandedSymp.728;36;33;33;37;2;0:00:02
Swoop;202106;mobile;SDPCustom.NU1559Branded.300;114;90;89;123;1811;0:30:11
Swoop;202106;mobile;SDPCustom.NU1559Branded.728;15;13;13;16;330;0:05:30
Swoop;202106;mobile;SDPCustom.NU1623Unbranded50.300;75;48;46;87;6;0:00:06
Swoop;202106;mobile;SDPCustom.NU1623Unbranded50.728;49;40;38;59;3204;0:53:24
Swoop;202106;mobile;SDPCustom.NU1624UnbrandedSymp.300;49;45;45;57;700;0:11:40
Swoop;202106;mobile;SDPCustom.NU1624UnbrandedSymp.320;97;79;76;123;2590;0:43:10
Swoop;202106;mobile;SDPCustom.NU1624UnbrandedSymp.728;68;53;52;76;3076;0:51:16
Swoop;202106;tablet;SDPCustom.NU1559Branded.160;1;1;1;1;0;0:00:00
Swoop;202106;tablet;SDPCustom.NU1559Branded.300;4;4;4;4;0;0:00:00
Swoop;202106;tablet;SDPCustom.NU1559Branded.728;56;45;45;58;333;0:05:33
Swoop;202106;tablet;SDPCustom.NU1623Unbranded50.300;4;2;2;4;0;0:00:00
Swoop;202106;tablet;SDPCustom.NU1623Unbranded50.728;34;27;27;36;86;0:01:26
Swoop;202106;tablet;SDPCustom.NU1624UnbrandedSymp.300;2;2;2;2;0;0:00:00
Swoop;202106;tablet;SDPCustom.NU1624UnbrandedSymp.320;10;6;5;10;0;0:00:00
Swoop;202106;tablet;SDPCustom.NU1624UnbrandedSymp.728;23;13;13;23;0;0:00:00
WebMD;202106;desktop;AudienceSDOnly.NU1559Branded.160;7;7;7;7;0;0:00:00
WebMD;202106;desktop;AudienceSDOnly.NU1559Branded.300;12;11;10;13;16;0:00:16
WebMD;202106;desktop;AudienceSDOnly.NU1559Branded.728;12;12;12;14;54;0:00:54
WebMD;202106;desktop;AudienceSDOnly.NU1623Unbranded50.160;2;2;1;2;0;0:00:00
WebMD;202106;desktop;AudienceSDOnly.NU1623Unbranded50.300;13;13;13;15;1161;0:19:21
WebMD;202106;desktop;AudienceSDOnly.NU1623Unbranded50.728;7;7;7;9;435;0:07:15
WebMD;202106;desktop;AudienceSDOnly.NU1624UnbrandedSymp.160;5;5;5;6;509;0:08:29
WebMD;202106;desktop;AudienceSDOnly.NU1624UnbrandedSymp.300;7;6;5;9;887;0:14:47
WebMD;202106;desktop;AudienceSDOnly.NU1624UnbrandedSymp.728;13;13;13;13;0;0:00:00
WebMD;202106;desktop;NUMonographAV.NU1623Unbranded50.300;1;1;1;1;0;0:00:00
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1559Branded.160;18;18;18;20;150;0:02:30
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1559Branded.300;19;19;19;22;189;0:03:09
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1559Branded.728;8;8;7;9;31;0:00:31
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1623Unbranded50.160;9;8;7;10;1084;0:18:04
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1623Unbranded50.300;7;7;7;8;80;0:01:20
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1623Unbranded50.728;11;11;10;14;1310;0:21:50
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.160;9;8;8;14;411;0:06:51
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.300;7;7;7;7;0;0:00:00
WebMD;202106;desktop;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.728;9;9;8;9;0;0:00:00
WebMD;202106;desktop;WebMDNUMonographWebMDAV.NU1623Unbranded50.300;1;1;0;1;0;0:00:00
WebMD;202106;desktop;WebMDRotationalBannerSDConditionCenter.NU1623Unbranded50.300;1;1;0;1;0;0:00:00
WebMD;202106;mobile;AudienceSDOnly.NU1559Branded.300;78;75;72;121;7403;2:03:23
WebMD;202106;mobile;AudienceSDOnly.NU1623Unbranded50.300;31;30;29;38;2911;0:48:31
WebMD;202106;mobile;AudienceSDOnly.NU1624UnbrandedSymp.300;58;51;48;75;3811;1:03:31
WebMD;202106;mobile;NUMonographAV.NU1559Branded.300;1;1;0;1;0;0:00:00
WebMD;202106;mobile;RotationalBannerSDConditionCenter.NU1559Branded.300;62;56;55;74;3046;0:50:46
WebMD;202106;mobile;RotationalBannerSDConditionCenter.NU1623Unbranded50.300;37;34;32;39;173;0:02:53
WebMD;202106;mobile;RotationalBannerSDConditionCenter.NU1623Unbranded50.728;1;1;1;1;0;0:00:00
WebMD;202106;mobile;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.300;37;36;31;42;764;0:12:44
WebMD;202106;tablet;AudienceSDOnly.NU1559Branded.300;1;1;1;1;0;0:00:00
WebMD;202106;tablet;AudienceSDOnly.NU1559Branded.728;4;4;3;4;0;0:00:00
WebMD;202106;tablet;AudienceSDOnly.NU1623Unbranded50.300;3;3;3;3;0;0:00:00
WebMD;202106;tablet;AudienceSDOnly.NU1624UnbrandedSymp.300;1;1;1;1;0;0:00:00
WebMD;202106;tablet;AudienceSDOnly.NU1624UnbrandedSymp.728;2;2;1;3;39;0:00:39
WebMD;202106;tablet;RotationalBannerSDConditionCenter.NU1559Branded.160;1;1;1;1;0;0:00:00
WebMD;202106;tablet;RotationalBannerSDConditionCenter.NU1559Branded.300;12;11;10;13;0;0:00:00
