Campaign;Month;Site (Site Directory);Placement - DCM;Creative;Creative Dimensions;Platform Type;Impressions;Clicks
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1623_v3_50;728x90;Desktop;6315;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1624_v3_Symptom;160x600;Desktop;6164;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1624_v3_Symptom;300x250;Desktop;10171;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1624_v3_Symptom;320x50;Desktop;7;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1624_v3_Symptom;728x90;Desktop;6376;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;33254;16
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;49035;15
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;34882;15
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Skin Disease News Today;Skin Disease News Today ROS;SD_1623_v3_50;300x250;Desktop;2881;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Skin Disease News Today;Skin Disease News Today ROS;SD_1623_v3_50;728x90;Desktop;3735;10
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Skin Disease News Today;Skin Disease News Today ROS;SD_1624_v3_Symptom;300x250;Desktop;2778;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Skin Disease News Today;Skin Disease News Today ROS;SD_1624_v3_Symptom;728x90;Desktop;3798;14
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Skin Disease News Today;Skin Disease News Today ROS;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;5277;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Skin Disease News Today;Skin Disease News Today ROS;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;6736;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;SD_1623_v3_50;160x600;Desktop;6129;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;SD_1623_v3_50;300x250;Desktop;5151;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;SD_1623_v3_50;728x90;Desktop;7129;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;SD_1624_v3_Symptom;160x600;Desktop;6197;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;SD_1624_v3_Symptom;300x250;Desktop;5193;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;SD_1624_v3_Symptom;728x90;Desktop;7037;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;16939;10
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;12355;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;16341;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Performance Display;(not set);1x1;Desktop;0;55
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Performance Display;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;180;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1623_v3_50;160x600;Desktop;1632;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1623_v3_50;300x250;Desktop;5125;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1623_v3_50;728x90;Desktop;19188;29
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;160x600;Desktop;1691;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;300x250;Desktop;5227;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;320x50;Desktop;66;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;728x90;Desktop;19218;45
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;3998;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;15070;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;36986;70
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;SD_1623_v3_50;160x600;Desktop;8374;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;SD_1623_v3_50;300x250;Desktop;22464;10
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;SD_1623_v3_50;728x90;Desktop;19515;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;SD_1624_v3_Symptom;160x600;Desktop;8429;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;SD_1624_v3_Symptom;300x250;Desktop;22715;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;SD_1624_v3_Symptom;728x90;Desktop;19891;13
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;16723;10
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;40947;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Audience Targeting Media - SD Only;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;34860;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1623_v3_50;160x600;Desktop;101;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1623_v3_50;300x250;Desktop;244;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1623_v3_50;728x90;Desktop;201;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1624_v3_Symptom;160x600;Desktop;91;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1624_v3_Symptom;300x250;Desktop;257;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1624_v3_Symptom;728x90;Desktop;212;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;262;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;700;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Dermicool Drug Monograph on WebMD.com AV;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;608;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;SD_1623_v3_50;160x600;Desktop;8694;13
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;SD_1623_v3_50;300x250;Desktop;20403;9
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;SD_1623_v3_50;728x90;Desktop;13935;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;SD_1624_v3_Symptom;160x600;Desktop;8686;10
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;SD_1624_v3_Symptom;300x250;Desktop;20578;12
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;SD_1624_v3_Symptom;728x90;Desktop;14195;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;18584;14
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;40635;20
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;WebMD;Rotational Banner on SD condition center;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;31766;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;160x600;Desktop;37726;14
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;300x250;Desktop;75015;16
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;728x90;Desktop;85721;16
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;160x600;Desktop;37862;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;300x250;Desktop;75441;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;320x50;Desktop;155;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;728x90;Desktop;85539;26
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;62246;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;213973;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;122252;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1623_v3_50;160x600;Desktop;47921;23
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1623_v3_50;300x250;Desktop;55395;32
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1623_v3_50;728x90;Desktop;40851;29
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1624_v3_Symptom;160x600;Desktop;47790;26
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1624_v3_Symptom;300x250;Desktop;55186;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1624_v3_Symptom;320x50;Desktop;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;SD_1624_v3_Symptom;728x90;Desktop;40892;33
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;73156;29
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;93427;25
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;67068;30
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;SD_1623_v3_50;300x250;Desktop;4;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;SD_1623_v3_50;728x90;Desktop;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;SD_1624_v3_Symptom;160x600;Desktop;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;SD_1624_v3_Symptom;300x250;Desktop;6;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;SD_1624_v3_Symptom;320x50;Desktop;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;SD_1624_v3_Symptom;728x90;Desktop;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;144;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;427;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Zeta Global;Skin Disease Swoop Segment Targeting AV;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;187;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;412;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;27;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;672;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Parkinson Disease;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;743;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Parkinson Disease;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;1028;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Quetiapine;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;6814;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Quetiapine;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;153;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Quetiapine;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;7244;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Seroquel;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;113;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Seroquel;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Seroquel;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;109;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Ssias;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;632;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Ssias;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;27;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Ssias;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;392;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;SD_1623_v3_50;300x250;Desktop;2318;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;SD_1623_v3_50;728x90;Desktop;1527;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;SD_1624_v3_Symptom;300x250;Desktop;2258;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;SD_1624_v3_Symptom;320x50;Desktop;67;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;SD_1624_v3_Symptom;728x90;Desktop;1593;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;5161;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Disease Display Media;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;4325;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;SD_1623_v3_50;300x250;Desktop;2559;9
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;SD_1623_v3_50;728x90;Desktop;2698;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;SD_1624_v3_Symptom;300x250;Desktop;2568;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;SD_1624_v3_Symptom;728x90;Desktop;2600;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Desktop;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Desktop;8575;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Remedy Health;Skin Disease Condition Center;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Desktop;7991;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1715 320x50 NS;(not set);1x1;Mobile midrange: feature phone;0;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;320x50;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;300x250;Mobile midrange: feature phone;3;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;300x250;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;320x50;Mobile midrange: feature phone;12;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Swoop Segment Targeting;SD_1623_v3_50;300x250;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Swoop Segment Targeting;SD_1624_v3_Symptom;320x50;Mobile midrange: feature phone;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Media IQ;Skin Disease Swoop Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Mobile midrange: feature phone;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1623_v3_50;300x250;Mobile midrange: feature phone;5;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1624_v3_Symptom;300x250;Mobile midrange: feature phone;4;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1624_v3_Symptom;320x50;Mobile midrange: feature phone;23;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Mobile midrange: feature phone;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Mobile midrange: feature phone;9;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Mobile midrange: feature phone;2;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1623_v3_50;300x250;Mobile midrange: feature phone;5;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1624_v3_Symptom;320x50;Mobile midrange: feature phone;14;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;Dermicool_SDP_DTP_TalkToYourDoctor_160x600_v1;160x600;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Mobile midrange: feature phone;9;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Sharecare;Skin Disease Performance Display;(not set);1x1;Mobile midrange: feature phone;0;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1;300x250;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;GoodRx ;Brand Page Takeover – Dermicool - Quetiapine;Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1;728x90;Mobile midrange: feature phone;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1545 Expandable 320x50 LTC;transparent_1x1 (1);1x1;Smartphone;767923;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1546 Expandable 320x50 LTC;transparent_1x1 (1);1x1;Smartphone;212385;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1570 Expandable 320x50 LTC;(not set);1x1;Smartphone;0;26
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1570 Expandable 320x50 LTC;transparent_1x1 (1);1x1;Smartphone;766411;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1623 300x250 NS;SD_1623_v3_50;300x250;Smartphone;144955;262
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1624 300x250 NS;SD_1624_v3_Symptom;300x250;Smartphone;144022;283
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1624 320x50 NS;SD_1624_v3_Symptom;320x50;Smartphone;644697;1435
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1715 320x50 NS;(not set);1x1;Smartphone;0;84
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-05;Aptus Health;Distribution DTC NU-1715 320x50 NS;transparent_1x1 (1);1x1;Smartphone;21330;0
